"Disease","Adjusted_P_Value","Associated_Genes"
"Osteosarcoma",0.000312528810283013,"IRX1;CD163;MMP7;LUM;MMP2;TNC;LPL;CSN3;DCN;DKK3;CNN1;ZEB2;SFRP2;COL1A2;RGS1;CDH11;KDR;SPP1"
"Aortic Aneurysm",0.000330881034415983,"CDH5;RGS1;MMP2;TNC;SPP1;TLR4"
"Tumor Angiogenesis",0.000350278753930465,"GREM1;CD163;MMP7;MMP2;TNC;KDR;SPP1;PTN;ETS1;TLR4;DCN;DKK3"
"Chronic Periodontitis",0.000352999189542787,"IL33;FCGR3A;MMP2;DEFB1;ACKR1;IGHA1;TLR4"
"Malignant Squamous Cell Neoplasm",0.000397043340191895,"MMP7;MMP2;DPYD;SPP1;MMP19;KRT5;ETS1"
"Ulcerative Colitis",0.000421677548653762,"IL33;CD163;MMP7;MMP2;LPL;DEFB1;ETS1;SFRP1;FCGR3A;SFRP2;CDH11;KDR;SPP1;ACKR1;IGHA1;TLR4"
"Kidney Failure, Chronic",0.000421677548653762,"POSTN;CD163;FCGR3A;LUM;MMP2;ADIPOQ;KDR;SPP1;LPL;IGHA1;TLR4"
"Lymphoproliferative Disorders",0.000439870093532451,"FCGR3A;IGLV3-21;MRC1;IGKV3-15;SPP1;LPL;CD200;IGKV3-20"
"Carcinogenesis",0.000472700042209981,"SEMA5A;ADH1B;TNC;KLK5;DPT;DEFB1;CSN3;PTN;ETS1;SLCO2B1;EPB41L3;MRC1;KDR;SPP1;IRX1;IL33;MMP7;LUM;ZBTB16;MMP2;ADIPOQ;KRT5;MPEG1;FLI1;DCN;DKK3;GREM1;SFRP1;ARMCX1;ZEB2;SFRP2;COL1A2;FABP4;CDH11;KRT14;SCGB3A1;SCGB2A2;MMP19;TLR4"
"Nasal Polyps",0.000489990053239837,"IL33;CD163;MMP2;MRC1;SPP1;SCGB2A2;DEFB1;TLR4"
"Osteosarcoma of bone",0.000507845349677867,"IRX1;CD163;MMP7;LUM;MMP2;TNC;LPL;CSN3;DCN;DKK3;CNN1;ZEB2;SFRP2;COL1A2;CDH11;KDR;SPP1"
"Arthritis",0.000508596654191596,"IL33;MMP2;TNC;ETS1;SFRP1;FCGR3A;MRC1;CDH11;DPYD;KDR;SPP1;S1PR1;TLR4"
"Malignant neoplasm of ovary",0.000508596654191596,"ADH1B;KLK5;HBB;PTN;ETS1;FCGR3A;EPB41L3;MRC1;KDR;SPP1;IL33;MMP7;ZBTB16;MMP2;KRT5;DCN;DKK3;MFAP5;SFRP1;ZEB2;FABP4;DPYD;SCGB2A2;MMP19;TLR4"
"ovarian neoplasm",0.000521626947658639,"POSTN;MMP7;MMP2;TNC;KLK5;PTN;ETS1;DCN;SFRP1;SFRP2;EPB41L3;CDH11;DPYD;KDR;SPP1;TLR4"
"Pleural effusion disorder",0.000521626947658639,"FCGR3A;LUM;MMP2;SPP1;SCGB2A2;LALBA"
"Allergic rhinitis (disorder)",0.000568231144073562,"IL33;FCGR3A;SPP1;ADAM33;DEFB1;ETS1;TLR4"
"Adenocarcinoma Of Esophagus",0.000603979024932261,"SFRP1;MMP7;MMP2;ADIPOQ;KDR;SPP1;S1PR1;TLR4;DKK3"
"Subcutaneous hemorrhage",0.000606362652196328,"COL1A2;KRT14;KRT5"
"Giant Cell Tumor of Bone",0.00061149603295822,"LUM;MMP2;SPP1;DPT;DCN"
"Ovarian Carcinoma",0.000661737087956693,"ADH1B;KLK5;HBB;PTN;ETS1;FCGR3A;EPB41L3;MRC1;KDR;SPP1;IL33;CD163;MMP7;ZBTB16;MMP2;KRT5;DCN;DKK3;MFAP5;SFRP1;ZEB2;FABP4;DPYD;SCGB2A2;MMP19;TLR4"
"Glioma",0.000691017750962805,"SEMA5A;TNC;PTN;ETS1;CDH5;MRC1;KDR;SPP1;IL33;POSTN;CD163;MMP7;CD93;LUM;ZBTB16;MMP2;LYVE1;DCN;DKK3;SFRP1;ZEB2;SFRP2;CDH11;MMP19;TLR4;MT1E"
"Malignant Head and Neck Neoplasm",0.000691017750962805,"FCGR3A;ZEB2;MMP7;ADH1B;MMP2;MRC1;CDH11;DPYD;KDR;MMP19;TLR4"
"Systemic Scleroderma",0.000704493265043211,"GREM1;IL33;SFRP1;FCGR3A;COL1A2;MMP2;CDH11;TNC;KDR;SPP1;TLR4;FLI1"
"Mammary Neoplasms, Human",0.000759590698760807,"CDH5;SFRP1;ZEB2;SFRP2;MMP2;EPB41L3;DPYD;KRT14;KDR;SPP1;KRT5"
"Ischemic stroke",0.00081159026549011,"MMP7;FABP4;MMP2;ADIPOQ;KDR;SPP1;F13A1;LPL;DEFB1;TLR4"
"Malignant neoplasm of pancreas",0.000902508444290783,"SEMA5A;IL33;CD163;MMP7;ADH1B;LUM;MMP2;ADIPOQ;TNC;CSN2;ETS1;DCN;DKK3;CDH5;SFRP1;FCGR3A;ZEB2;SLCO2B1;MRC1;DPYD;KDR;SPP1;TLR4"
"Proliferative diabetic retinopathy",0.00104475325466978,"POSTN;MMP2;TNC;KDR;PTN"
"Malignant tumor of colon",0.00106023150740813,"IL33;MMP7;LUM;MMP2;ADIPOQ;TNC;LPL;PTN;NID1;ETS1;FLI1;DCN;DKK3;GREM1;SFRP1;FCGR3A;ZEB2;MRC1;RHOJ;CDH11;DPYD;KDR;SPP1;TLR4"
"Pancreatic carcinoma",0.00106316648804461,"SEMA5A;IL33;CD163;MMP7;ADH1B;LUM;MMP2;ADIPOQ;TNC;CSN2;ETS1;DCN;DKK3;CDH5;SFRP1;FCGR3A;ZEB2;SLCO2B1;MRC1;DPYD;KDR;SPP1;TLR4"
"Acute Coronary Syndrome",0.00116157169241923,"GREM1;IL33;FCGR3A;FABP4;MMP2;ADIPOQ;SPP1;TLR4"
"Malignant mesothelioma",0.00126314649580703,"GREM1;ZEB2;MMP2;TNC;KDR;SPP1;SCGB3A1;MPEG1;DKK3"
"Benign Prostatic Hyperplasia",0.00129530221898016,"SFRP1;SFRP2;MMP2;KDR;KLK5;SPP1;LPL;ETS1;FLI1;DKK3"
"Sclerosis of the skin",0.00137444075606898,"CD163;COL1A2;FLI1"
"Mouth Neoplasms",0.00137444075606898,"POSTN;MMP7;ADH1B;TNC;TLR4;DCN"
