"Disease","Adjusted_P_Value","Associated_Genes"
"Sleep Apnea, Obstructive",0.0319895678655074,"FABP4;MMP2;ADIPOQ;LPL"
"Fibrosis of pancreas",0.0321797662732964,"GREM1;ADH1B"
"High Grade Intraepithelial Neoplasia",0.0321797662732964,"ADH1B;G0S2"
"Ophthalmoparesis",0.0321797662732964,"KRT14;KRT5"
"Pouchitis",0.0321797662732964,"DEFB1;TLR4"
"Skin blisters",0.033089619905475,"KRT14;KRT5;TLR4"
"Gestational Diabetes",0.033089619905475,"ADIPOQ;KDR;LPL"
"Abnormal blistering of the skin",0.033089619905475,"KRT14;KRT5;TLR4"
"Cerebral Hemorrhage",0.033089619905475,"MMP2;KDR;SPP1"
"Esophageal Neoplasms",0.0331156500915126,"MMP7;ADH1B;MMP2;DPYD;KDR;SPP1;SCGB3A1;ETS1;TLR4"
"Recurrent infections",0.034119448054404,"C1QB;HBB;C1QC"
"Skin bullae",0.034119448054404,"KRT14;KRT5;TLR4"
"Celiac Disease",0.034119448054404,"IL33;FCGR3A;RGS1;DEFB1;ETS1;TLR4"
"Immunologic Deficiency Syndromes",0.034119448054404,"C1QB;FCGR3A;MMP7;MMP2;KDR;SPP1;HBB;KRT5;TLR4"
"Cholelithiasis",0.0342576526713219,"MMP2;TNC;HBB;TLR4"
"Lung Injury",0.0342608295066447,"TNC;TLR4"
"Premature tooth loss",0.0342608295066447,"CDH11;KRT14"
"Early tooth exfoliation",0.0342608295066447,"CDH11;KRT14"
"Adenomatous Polyps",0.0350050108408435,"MMP7;SFRP2;MRC1"
"Cerebrovascular accident",0.0353493917632164,"ADH1B;ZBTB16;MMP2;KDR;SPP1;F13A1;LPL;HBB;DEFB1;TLR4"
"Spontaneous abortion",0.035512626973979,"CD163;COL1A2;MMP7;MMP19"
"Neck Neoplasms",0.0361616107282913,"MMP7;ADH1B;DPYD"
"Rosacea",0.0367109412709248,"CD163;KLK5"
"Shock",0.0367109412709248,"MMP2;TLR4"
"Mastitis",0.0367109412709248,"CAVIN2;TLR4"
"Diabetic Polyneuropathies",0.0367109412709248,"MMP2;TLR4"
"Disorder of Achilles tendon",0.0367109412709248,"TNC;TLR4"
"Tracheal Diseases",0.0369598822757224,"MMP7;KLK5;SCGB3A1"
"Pterygium",0.0369598822757224,"MMP2;KDR;LYVE1"
"Pectus excavatum",0.0374384655545693,"MFAP5;ZEB2;COL1A2;CDH11"
"Acute lymphocytic leukemia",0.0380461785567802,"TLE4;ZEB2;ZBTB16;CDH11;DPYD;KDR;SPP1;CSN2;TLR4;FLI1;DKK3"
"Lymphoma, Non-Hodgkin",0.0380461785567802,"FCGR3A;ZBTB16;MMP2;ADIPOQ;KDR;SPP1;HBB;LYVE1"
"Contact hypersensitivity",0.0380461785567802,"FABP4;DEFB1;TLR4"
"Sarcoma",0.038344393025631,"SFRP1;MMP2;MRC1;CDH11;KDR;SPP1;ETS1;LYVE1;FLI1"
"Leprosy",0.0385749244448778,"CD163;MRC1;DEFB1;TLR4"
"Hepatitis C",0.0385749244448778,"SFRP1;FCGR3A;LUM;MMP2;MRC1;KRT14;SPP1;LPL;ACKR1;TLR4"
"Rubinstein-Taybi Syndrome",0.0385749244448778,"ZEB2;TNC"
"Granuloma",0.0385749244448778,"TNC;SPP1"
"Myopia, Degenerative",0.0385749244448778,"ZEB2;FLI1"
"Abnormality of the thorax",0.0385749244448778,"COL1A2;MMP2"
"C-cell hyperplasia of thyroid",0.0385749244448778,"TNC;SPP1"
"Camurati-Engelmann Syndrome",0.0385749244448778,"COL1A2;TLR4"
"Hepatitis, Alcoholic",0.0385749244448778,"MMP7;SPP1;TLR4"
"Uveomeningoencephalitic Syndrome",0.0399637609284481,"SPP1;ETS1;TLR4"
"Ovarian Cysts",0.0413795640283435,"C1QB;COL1A2;MMP2"
"Helminthiasis",0.0413839269475108,"IL33;TYROBP"
"Dentinogenesis Imperfecta",0.0413839269475108,"COL1A2;TNC"
"Dupuytren's Disease",0.0413839269475108,"POSTN;MMP2"
"Stable angina",0.042413527172889,"IL33;MMP2;TLR4"
"Chest Pain",0.042413527172889,"MFAP5;ADIPOQ;HBB"
"Non-alcoholic Fatty Liver Disease",0.0429695919728864,"FABP4;ADIPOQ;SPP1;S1PR1;LPL;TLR4"
"Hematologic Neoplasms",0.0439254162093741,"MMP2;MRC1;KDR;SPP1;SCGB2A2;ETS1;CD200;IGKV3-20"
"Fatty Liver",0.0439254162093741,"ADIPOQ;KDR;SPP1;LPL;G0S2;CYP7B1;TLR4"
"Leukokeratosis",0.0439326607048731,"KRT14;KRT5"
"Congenital infectious disease",0.0439326607048731,"MMP2;TLR4"
"Prematurely aged appearance",0.0439326607048731,"KRT14;KRT5"
"Hepatitis B, Chronic",0.0439326607048731,"CD163;ADH1B;MMP2;SPP1;TLR4"
"Marinesco-Sjogren syndrome",0.0446119180508961,"SFRP1;MRC1;DPYD"
"Crohn's disease of large bowel",0.0446119180508961,"ADIPOQ;DEFB1;TLR4"
"Pneumonitis",0.0451185115280638,"IL33;FCGR3A;MRC1;SPP1;S1PR1;TLR4"
"Cervical Squamous Cell Carcinoma",0.0458850724007405,"EPB41L3;KRT14;KRT5;TLR4"
"Thrombocytopenia",0.0458850724007405,"FYB1;DPYD;CSN1S1;ETS1;TLR4;FLI1"
"Esophageal carcinoma",0.0458850724007405,"MMP7;ADH1B;MMP2;DPYD;KDR;SPP1;SCGB3A1;ETS1;TLR4"
"Epidermolysis Bullosa Simplex",0.0458850724007405,"KRT14;KRT5"
"Malaria, Vivax",0.0458850724007405,"GYPC;ACKR1"
"Abnormal pattern of respiration",0.0458850724007405,"KRT14;KRT5"
"Acne Vulgaris",0.0458850724007405,"DEFB1;TLR4"
"Yellow Fever",0.0458850724007405,"FCGR3A;GYPC"
"Beta thalassemia trait",0.0458850724007405,"HBB;LPL"
"Metastatic osteosarcoma",0.0458850724007405,"MMP2;TNC"
"Pathological fracture",0.0458850724007405,"GREM1;TYROBP"
"Invasive Carcinoma",0.0460602609407689,"MMP7;MMP2;KRT14;LPL"
"Eczema",0.0476970992694134,"IL33;MRC1;TNC;KLK5;DEFB1;TLR4;JCHAIN"
"Lobar Pneumonia",0.0478214346469681,"IL33;SPP1;TLR4"
"Papillary thyroid carcinoma",0.0480840731631417,"FCGR3A;ZEB2;KDR;SPP1;PTN;TLR4;FLI1;DKK3"
"Leukopenia",0.0480840731631417,"FCGR3A;MMP2;DPYD;ACKR1;TLR4"
"Recurrent skin infections",0.0480840731631417,"KRT14;KRT5"
"Skin toxicity",0.0480840731631417,"IL33;FCGR3A"
"Herpesviridae Infections",0.0480840731631417,"FCGR3A;ACKR1"
"Appendicitis",0.0480840731631417,"DEFB1;TLR4"
"Nevus elasticus",0.0480840731631417,"MMP2;SPP1"
"Chronic Lung Injury",0.0480840731631417,"TNC;TLR4"
"Primary amyloidosis",0.0480840731631417,"MMP2;IGKV3-20"
"Acute myocardial infarction",0.048103727528665,"IL33;POSTN;MMP2;LPL;TLR4"
"Cholecystolithiasis",0.0482614944023602,"MMP2;TNC;TLR4"
"Hay fever",0.0496733858080041,"IL33;ADAM33;TLR4"
"Hydatidiform Mole",0.0496733858080041,"MMP2;ZBTB16;SPP1"
